COD,Date,Precip,Tavg,Tmax,Tmin,Ws,Sd,Rh
430608,2015-01-01,0,-14,-5.8,-19.7,2,6,80
430608,2015-01-02,0.3,-5.1,-2,-11.5,3.3,4.1,81
430608,2015-01-03,0,-1.2,3.7,-4.9,1.7,2.4,88
430608,2015-01-04,1.5,-0.8,0.8,-2.3,1.3,0,92
430608,2015-01-05,0,-3.7,3.5,-9.8,1.9,6.5,84
430608,2015-01-06,0,-3.4,1.6,-6.9,1.7,1.9,73
430608,2015-01-07,0.4,-8.6,-4.7,-11.2,2.1,6.8,71
430608,2015-01-08,0,-14.4,-5.5,-20.4,0.8,6.1,80
430608,2015-01-09,0,-8.8,-2.6,-18.5,2.5,1.9,84
430608,2015-01-10,0,3.6,7.4,-3.2,2.9,4.5,81
430608,2015-01-11,0,4.7,11.6,-1.8,2.3,6.8,85
430608,2015-01-12,15.5,0.6,5.7,-2.9,1.8,3.2,94
430608,2015-01-13,0,-1.9,5.2,-8,2.1,6.8,88
430608,2015-01-14,0,-2.3,7.5,-8,1,6.9,87
430608,2015-01-15,0,-2.8,2.2,-7,0.9,1.4,94
430608,2015-01-16,0,-2.8,6,-8.4,1.1,6.5,90
430608,2015-01-17,0,-2.1,-0.4,-3.3,0.8,0,99
430608,2015-01-18,0,-2,3.6,-5.1,1.9,1.4,96
430608,2015-01-19,0,3.6,10.6,-0.6,0.9,5.4,83
430608,2015-01-20,0,-0.4,3,-2.4,1.3,1.7,96
430608,2015-01-21,0,1,2.5,-0.1,2,0,99
430608,2015-01-22,0.1,2.1,3.3,1.2,1.7,0,99
430608,2015-01-23,0.3,3.8,5.3,2.2,3.9,0,99
430608,2015-01-24,2.3,3.8,5.4,1.7,6.3,0,97
430608,2015-01-25,5.4,1.5,2.8,0.7,3.2,0,95
430608,2015-01-26,1.4,2.3,3.1,1.6,0.7,0,97
430608,2015-01-27,0.3,2.8,4.4,2.1,1.5,0,93
430608,2015-01-28,6.8,1.9,3.6,0.4,1.7,0,98
430608,2015-01-29,0.2,2,4.5,-0.7,1.3,0,94
430608,2015-01-30,0,1.5,7.1,-3.7,1,2.1,95
430608,2015-01-31,6.2,9,12.6,3.2,3.9,4.4,69
430608,2015-02-01,8.4,4.6,6.5,1.4,1.9,0,89
430608,2015-02-02,1.1,2.5,6.6,-0.6,1.9,0.8,96
430608,2015-02-03,2.6,3.6,8,1.6,2.1,3.9,85
430608,2015-02-04,0,0.8,6.2,-5.9,1.7,3.6,89
430608,2015-02-05,0,2.5,7.7,-1.6,2.4,1.8,88
430608,2015-02-06,3.7,0.8,4.8,0.2,7.7,0,89
430608,2015-02-07,9.9,-1.3,0.4,-2.3,4.3,0,86
430608,2015-02-08,0,-2.5,1.2,-5.3,2.7,1.3,90
