nr_crt,co,statia,cmr,cau_0_20,cau_0_50,cau_0_100
1,15479,ADAMCLISI,DOB (Dobrogea),431,1020,1834
2,15219,ADJUD,MOLB (Moldova Birlad),450,900,1750
3,15200,ARAD,BAN (Banat),450,870,1834
4,15150,BACAU,MOLB (Moldova Birlad),500,900,1900
5,15465,BAILESTI,OLT (Oltenia),398,920,1819
6,15289,BANLOC,BAN (Banat),400,970,1660
7,15494,BECHET,OLT (Oltenia),376,840,1620
8,15197,BIRLAD,MOLI Moldova Iasi),400,800,1520
9,15085,BISTRITA,TRN (Transilvania Nord),500,1100,2000
10,15020,BOTOSANI,MOLI Moldova Iasi),500,950,1700
11,15333,BRAILA,MUNB (Muntenia Buzau),400,850,1800
12,15300,BRASOV GHIMBAV,TRS (Transilvania Sud),450,900,1600
13,15350,BUZAU,MUNB (Muntenia Buzau),450,850,1800
14,15460,CALARASI,MUNB (Muntenia Buzau),500,1190,2270
15,15469,CARACAL,OLT (Oltenia),403,840,1630
16,15136,CHISINEU CRIS,CRI (Crisana),450,950,1900
17,15480,CONSTANTA,DOB (Dobrogea),450,930,1800
18,15408,CORUGEA,DOB (Dobrogea),400,950,1800
19,15056,COTNARI,MOLI Moldova Iasi),400,920,1810
20,15450,CRAIOVA,OLT (Oltenia),337,764,1198
21,15347,CURTEA DE ARGES,MUNP (Muntenia Pitesti),490,900,2290
22,15000,DARABANI,MOLI Moldova Iasi),400,900,1800
23,15083,DEJ,TRN (Transilvania Nord),450,1000,1800
24,15230,DEVA,BAN (Banat),600,1260,2350
25,15395,DRAGASANI,OLT (Oltenia),646,940,1700
26,15189,DUMBRAVENI,TRS (Transilvania Sud),500,900,1600
27,15264,FOCSANI,MOLB (Moldova Birlad),450,900,1850
28,15424,FUNDULEA,MUNB (Muntenia Buzau),400,850,1710
29,15310,GALATI,MOLI Moldova Iasi),450,950,1800
30,15491,GIURGIU,MUNP (Muntenia Pitesti),447,850,1890
31,15405,GRIVITA,MUNB (Muntenia Buzau),450,850,1680
32,15090,IASI,MOLI Moldova Iasi),400,850,1650
33,15270,LUGOJ,BAN (Banat),400,890,1790
34,15499,MANGALIA,DOB (Dobrogea),450,1020,1740
35,15462,MEDGIDIA,DOB (Dobrogea),431,1020,1834
36,15080,ORADEA,CRI (Crisana),450,800,2500
37,15109,PIATRA NEAMT,MOLB (Moldova Birlad),500,950,1950
38,15373,PITESTI,MUNP (Muntenia Pitesti),431,926,1786
39,15377,PLOIESTI,MUNB (Muntenia Buzau),400,860,1460
40,15007,RADAUTI,MOLB (Moldova Birlad),550,1090,2000
41,15307,RM. SARAT,MUNB (Muntenia Buzau),450,850,1800
42,15111,ROMAN,MOLB (Moldova Birlad),500,950,1950
43,15123,SARMASU,TRS (Transilvania Sud),450,900,1600
44,15010,SATU MARE,TRN (Transilvania Nord),550,900,1500
45,15231,SEBES-ALBA,TRS (Transilvania Sud),400,800,1500
46,15260,SIBIU,TRS (Transilvania Sud),450,900,1600
47,15199,SINNICOLU MARE,BAN (Banat),400,970,1860
48,15434,SLATINA,OLT (Oltenia),681,1248,1700
49,15425,SLOBOZIA,MUNB (Muntenia Buzau),400,720,1570
50,15416,STOLNICI,MUNP (Muntenia Pitesti),400,1200,2000
51,15023,SUCEAVA,MOLB (Moldova Birlad),550,1050,2000
52,15265,TECUCI,MOLI Moldova Iasi),400,750,1450
53,15340,TG.JIU,OLT (Oltenia),468,1134,1914
54,15145,TG.MURES,TRS (Transilvania Sud),500,1000,1700
55,15247,TIMISOARA,BAN (Banat),531,1000,1750
56,15375,TIRGOVISTE,MUNP (Muntenia Pitesti),400,1000,1710
57,15335,TULCEA,DOB (Dobrogea),496,1205,2293
58,15490,TURNU MAGURELE,MUNP (Muntenia Pitesti),400,820,1686
59,15154,VASLUI,MOLI Moldova Iasi),400,800,1520
60,15063,ZALAU,TRN (Transilvania Nord),350,1100,2000
