CMR,JU,CODST,CODGE,NUME,X,Y,Z,SURSA_XY,SURSA_Z,Lon,Lat,Rugozitate
,,,739322,ARDUSAT,377420.8588,684700.5542,165,,,23.36666667,47.65,
,,,628246,ARIESENI,328631.3737,554305.3103,900,,,22.76666667,46.46666667,
,,,622250,AVRAM IANCU-VIRFURI,333446.3528,543052.1847,680,,,22.83333333,46.36666667,
,,,728310,BASESTI,361922.3564,664653.1281,201,,,23.16666667,47.46666667,
,,,724335,BOIU MARE,393195.6392,656593.6496,428,,,23.58333333,47.4,
,,,740409,BOTIZA,436285.2465,685623.1807,490,,,24.15,47.66666667,
,,,539136,BUZIAS,235194.654,466778.1509,126,,,21.6,45.65,
,,,738554,CACICA,567755.0922,681958.8892,450,,,25.9,47.63333333,
,,,645350,COJOCNA,410995.9934,584037.4785,345,,,23.83333333,46.75,
,,,432814,CRUCEA-CT,757063.845,342212.5407,80,,,28.23333333,44.53333333,
,,,546339,DOBRA-AB,395134.8097,474990.4035,480,,,23.65,45.76666667,
,,,713428,DUMITRA,459727.9483,635387.8843,340,,,24.46666667,47.21666667,
,,,728620,FALTICENI,600632.1724,663894.0454,348,,,26.33333333,47.46666667,
,,,514135,FOROTIC,231919.1295,420557.3427,150,,,21.58333333,45.23333333,
,,,445148,GARNIC,246782.2966,366172.4244,400,,,21.8,44.75,
,,,543209,HAUZESTI,278304.3125,472506.4171,230,,,22.15,45.71666667,
,,,609331,IGHIU,385559.5291,517767.8847,270,,,23.51666667,46.15,
,,,614406,JIDVEI,430715.3106,526353.2327,315,,,24.1,46.23333333,
,,,530728,MAICANESTI-POST,692851.2842,447442.5904,18,,,27.46666667,45.5,
,,,635200,MARAUS,270265.5842,569208.38,176,,,22,46.58333333,
,,,653150,MIERSIG,258833.5799,603033.7238,130,,,21.83333333,46.88333333,
,,,627629,MOINESTI,614060.2741,551103.5749,500,,,26.48333333,46.45,
,,,610526,OCLAND,533579.4114,518642.7305,500,,,25.43333333,46.16666667,
,,,528205,OHABA MATNIC,272102.8358,444924.1872,205,,,22.08333333,45.46666667,
,,,555705,PANCIU,661695.7584,492881.9442,260,,,27.08333333,45.91666667,
,,,629707,PARINCEA,662604.2869,555910.9461,205,,,27.11666667,46.48333333,
,,,435535,POTLOGI,546442.4589,342784.0158,115,,,25.58333333,44.58333333,
,,,704437,RAGLA-CETATE,471007.4826,618648.3167,463,,,24.61666667,47.06666667,
,,,716335,RUS,392929.0089,641772.9579,220,,,23.58333333,47.26666667,
,,,534228,RUSCA MONTANA-CS,302417.3444,455011.9212,350,,,22.46666667,45.56666667,
,,,633633,SOLONT,618963.6146,562313.9004,440,,,26.55,46.55,
,,,600640,SOVEJA,629189.9424,501380.9172,535,,,26.66666667,46,
,,,718410,SPERMEZEU,437105.0075,644848.0786,314,,,24.16666667,47.3,
,,,732353,STOICENI-TG LAPUS,416048.2017,671051.1952,360,,,23.88333333,47.53333333,
,,,642324,STOLNA-SAVADISLA,377782.1167,579059.6258,460,,,23.4,46.7,
,,,652326,SUMURDUCU,378156.7389,597581.6632,450,,,23.4,46.86666667,
,,,707631,TIBUCANII DE SUS,615200.3816,625241.1263,325,,,26.51666667,47.11666667,
,,,704212,TILEAGD,287487.7539,622349.7743,175,,,22.2,47.06666667,
,,,526423,TITESTI,451877.5546,437248.9274,584,,,24.38333333,45.43333333,
,,,401539,TOPORU,552242.7008,279860.0923,85,,,25.65,44.01666667,
,,,555640,TULNICI,629383.6395,492121.7211,571,,,26.66666667,45.91666667,
,,,511454,VLADESTI-AG,492262.9697,409289.2284,400,,,24.9,45.18333333,
