X,Y,CMR,JU,CODST,CODGE,NUME,X,Y,Z,SURSA_XY,SURSA_Z,LON,LAT
577300.458072258392349,4882129.858663888648152,CONSTANTA,CT,15479,408800,ADAMCLISI,577300.458072258,4882129.858663889,156,GPS/OF,GPS/OF,27.965588,44.088268
513167.708772911224514,5105696.273104136809707,MOLDOVA,VN,15219,606705,ADJUD,513167.708772911,5105696.273104137,101,GPS/OF,GPS/OF,27.170376,46.104715
234208.037315502238926,5106891.177449314855039,SIBIU,AB,15208,604335,ALBA IULIA,234208.037315502,5106891.177449315,252,GPS/OF,GPS/OF,23.563396,46.063904
367889.398566121002659,4870739.618075868114829,MUNTENIA,TR,15489,359521,ALEXANDRIA,367889.398566121,4870739.618075868,85,GPS/OF,GPS/OF,25.352823,43.977923
63869.04761280718958,5124399.721990013495088,BANAT-CRISANA,AR,15200,608121,ARAD,63869.047612807,5124399.721990014,117,GPS/OF,OLD,21.353628,46.133511
493289.5545676680631,5153150.57796761021018,MOLDOVA,BC,15150,635658,BACAU,493289.554567668,5153150.577967610,183,GPS/OF,GPS/OF,26.912496,46.531890
190866.9516930016689,4932115.86448011547327,CRAIOVA,MH,15412,428307,BACLES,190866.951693002,4932115.864480116,313,GPS/OF,GPS/OF,23.113064,44.476183
236594.406083990063053,5284569.259961877949536,CLUJ,MM,15014,740330,BAIA MARE,236594.406083990,5284569.259961878,224,GPS/OF,GPS/OF,23.491612,47.660835
137996.81671664910391,4979962.962453690357506,BANAT-CRISANA,CS,15366,452230,BAILE HERCULANE,137996.816716649,4979962.962453690,190,OF,OLD,22.416442,44.881030
205995.895686787611339,4881670.614670044742525,CRAIOVA,DJ,15465,401321,BAILESTI,205995.895686788,4881670.614670045,59,GPS/OF,GPS/OF,23.331213,44.029270
217071.354437226662412,5160160.286303820088506,CLUJ,CJ,15163,634322,BAISOARA,217071.354437227,5160160.286303820,1357,GPS/OF,GPS/OF,23.310229,46.535461
313991.18875116657,5052809.563894459046423,SIBIU,SB,15279,536437,BALEA LAC,313991.188751167,5052809.563894459,2037,GPS/OF,GPS/OF,24.614736,45.603924
40956.450874913309235,5042214.08280121255666,BANAT-CRISANA,TM,15289,523108,BANLOC,40956.450874913,5042214.082801213,83,GPS/OF,OLD,21.136404,45.382701
391430.659276676538866,5103979.000944344326854,SIBIU,CV,15215,605537,BARAOLT,391430.659276677,5103979.000944344,508,GPS/OF,GPS/OF,25.595831,46.080761
549688.926369357737713,5120141.746918015182018,MOLDOVA,VS,15197,614740,BARLAD,549688.926369358,5120141.746918015,168,GPS/OF,GPS/OF,27.644419,46.233036
544280.800782440113835,5206703.893550445325673,MOLDOVA,IS,15094,700733,BARNOVA (RADAR),544280.800782440,5206703.893550445,395,OF,OLD,27.582581,47.012374
320610.821573184686713,5195204.675458907149732,SIBIU,MS,15124,654438,BATOS,320610.821573185,5195204.675458907,450,GPS/OF,GPS/OF,24.645364,46.886155
254132.948788749199593,4853058.122789299115539,CRAIOVA,DJ,15494,347357,BECHET,254132.948788749,4853058.122789299,39,GPS/OF,GPS/OF,23.944171,43.789727
477387.76431945420336,5043969.094444340094924,MUNTENIA,BZ,15285,533642,BISOCA,477387.764319454,5043969.094444340,851,GPS/OF,GPS/OF,26.710319,45.548892
311527.173134238517378,5224730.392623712308705,CLUJ,BN,15085,708430,BISTRITA,311527.173134239,5224730.392623712,374,GPS/OF,GPS/OF,24.513947,47.149087
263451.679260673990939,5118439.310429001227021,SIBIU,AB,15209,611355,BLAJ,263451.679260674,5118439.310429001,342,GPS/OF,GPS/OF,23.935171,46.178429
287414.046334175625816,5059110.965599910356104,SIBIU,SB,15277,538416,BOITA,287414.046334176,5059110.965599910,523,GPS/OF,GPS/OF,24.271543,45.652957
164727.479048168694135,5213901.535558701492846,BANAT-CRISANA,BH,15095,659236,BOROD,164727.479048169,5213901.535558702,333,GPS/OF,OLD,22.590226,46.993641
473423.311091412615497,5286978.316363682039082,MOLDOVA,BT,15020,741640,BOTOSANI,473423.311091413,5286978.316363682,160,GPS/OF,GPS/OF,26.645530,47.735632
105850.34371106227627,4986019.482158627361059,BANAT-CRISANA,CS,15364,455200,BOZOVICI,105850.343711062,4986019.482158627,256,GPS/OF,OLD,22.006184,44.918308
572223.188667716574855,5006312.086954566650093,MUNTENIA,BR,15333,512755,BRAILA,572223.188667717,5006312.086954567,17,GPS/OF,GPS/OF,27.919671,45.206593
385254.069446274777874,5061311.152127141132951,SIBIU,BV,15300,542532,BRASOV,385254.069446275,5061311.152127141,535,GPS,GPS,25.526164,45.695847
369645.683773227501661,5167568.354904890060425,SIBIU,HR,15148,639518,BUCIN,369645.683773228,5167568.354904890,1290,GPS/OF,GPS/OF,25.296499,46.648992
437417.079448127129581,4927721.010780588723719,MUNTENIA,B,15421,430613,BUCURESTI AFUMATI,437417.079448127,4927721.010780589,90,OF,OLD,26.212770,44.500094
426729.186590242374223,4928981.057648244313896,MUNTENIA,B,15420,430608,BUCURESTI BANEASA,426729.186590242,4928981.057648244,90,OF,OLD,26.078165,44.510431
427851.126603476412129,4918040.573178105987608,MUNTENIA,B,15422,425606,BUCURESTI FILARET,427851.126603476,4918040.573178106,82,OF,OLD,26.093803,44.412062
488338.962329806527123,4997697.738533731549978,MUNTENIA,BZ,15350,509649,BUZAU,488338.962329807,4997697.738533732,89,GPS/OF,GPS/OF,26.851703,45.132657
174885.378132133686449,4878190.695563921704888,CRAIOVA,DJ,15482,359257,CALAFAT,174885.378132134,4878190.695563922,61,OF,OLD,22.946044,43.984905
527026.960907683591358,4894779.589971071109176,MUNTENIA,CL,15460,412721,CALARASI,527026.960907684,4894779.589971071,22,GPS/OF,GPS/OF,27.338274,44.205737
366909.381145726132672,5217536.139593524858356,MOLDOVA,SV,15088,706515,CALIMANI (RETITIS),366909.381145726,5217536.139593525,2022,GPS/OF,GPS/OF,25.246171,47.097903
195423.161422953126021,5142091.368631823919713,SIBIU,AB,15162,622303,CAMPENI (BISTRA),195423.161422953,5142091.368631824,621,GPS,GPS,23.040364,46.363791
400422.723880693200044,4999694.03272695094347,MUNTENIA,PH,15349,517545,CAMPINA,400422.723880693,4999694.032726951,461,"OF
OF",OLD,25.733404,45.143699
345994.213128245901316,5015348.218292828649282,MUNTENIA,AG,15324,517507,CAMPULUNG MUSCEL,345994.213128246,5015348.218292829,690,GPS/OF,GPS/OF,25.036582,45.274756
288477.435360709379893,4886389.435461517423391,CRAIOVA,OT,15469,406421,CARACAL,288477.435360709,4886389.435461517,105,GPS/OF,GPS/OF,24.357292,44.100124
126503.681047713151202,5040381.391190405935049,BANAT-CRISANA,CS,15292,525215,CARANSEBES,126503.681047713,5040381.391190406,241,GPS/OF,OLD,22.226280,45.417100
420133.970140963268932,5203198.16790425311774,MOLDOVA,NT,15108,656555,CEAHLAU TOACA,420133.970140963,5203198.167904253,1897,GPS/OF,OLD,25.949922,46.977494
583188.39015818585176,4910792.592640129849315,CONSTANTA,CT,15445,421803,CERNAVODA,583188.390158186,4910792.592640130,90,GPS/OF,GPS/OF,28.043673,44.345635
81347.516314277600031,5166151.794707180000842,BANAT-CRISANA,AR,15136,632130,CHISINEU CRIS,81347.516314278,5166151.794707180,96,GPS/OF,OLD,21.541667,46.518516
238261.810561356920516,5186177.848381351679564,CLUJ,CJ,15120,647334,CLUJ-NAPOCA,238261.810561357,5186177.848381352,417,GPS/OF,GPS/OF,23.571301,46.777759
631454.227892271359451,4896937.297166306525469,CONSTANTA,CT,15480,413838,CONSTANTA,631454.227892271,4896937.297166308,13,GPS/OF,GPS/OF,28.645524,44.213811
606258.620992785319686,4954314.31839984934777,CONSTANTA,TL,15408,444820,CORUGEA,606258.620992785,4954314.318399849,221,GPS/OF,GPS/OF,28.342009,44.734329
494382.582851984596346,5244984.686800707131624,MOLDOVA,IS,15056,722657,COTNARI,494382.582851985,5244984.686800707,289,GPS/OF,GPS/OF,26.925613,47.358301
250121.238681342627387,4911095.412721170112491,CRAIOVA,DJ,15450,414352,CRAIOVA,250121.238681343,4911095.412721170,192,GPS/OF,GPS/OF,23.866972,44.310143
147310.020614930428565,5026182.206021653488278,BANAT-CRISANA,CS,15316,518231,CUNTU,147310.020614930,5026182.206021654,1456,GPS/OF,OLD,22.501488,45.300478
316911.131124516949058,5005453.29245394654572,MUNTENIA,AG,15347,509441,CURTEA DE ARGES,316911.131124517,5005453.292453947,449,GPS/OF,GPS/OF,24.669727,45.178787
468302.088160062092356,5338048.460322410799563,MOLDOVA,BT,15000,812637,DARABANI,468302.088160062,5338048.460322411,259,GPS/OF,GPS/OF,26.573460,48.194878
308543.567351554520428,4987634.172944624908268,MUNTENIA,AG,15345,500432,DEDULESTI-MORARESTI,308543.567351555,4987634.172944625,550,GPS/OF,GPS/OF,24.570133,45.016306
264805.396986723993905,5224053.099287858232856,CLUJ,CJ,15083,709352,DEJ,264805.396986724,5224053.099287858,240,GPS/OF,GPS/OF,23.898852,47.127979
181670.922417892608792,5087222.667222095653415,BANAT-CRISANA,HD,15230,553254,DEVA,181670.922417893,5087222.667222096,230,GPS/OF,OLD,22.898803,45.864917
280982.290342452120967,4949499.504514909349382,CRAIOVA,VL,15395,444417,DRAGASANI,280982.290342452,4949499.504514909,275,GPS/OF,GPS/OF,24.237172,44.665439
153030.079914651345462,4950768.928783418610692,CRAIOVA,MH,15410,438238,DROBETA TURNU SEVERIN,153030.079914651,4950768.928783419,77,GPS/OF,GPS/OF,22.626069,44.626461
