perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
408800;ADAMCLISI;-0.3;0.9;5;10.4;16.2;20.3;22.4;22;17.3;11.8;6;1.3;11.1
606705;ADJUD;-2.2;-0.7;4;10.3;16.3;19.8;21.6;20.9;15.9;10.1;4;-1;9.9
559439;AGNITA;-3.7;-2;2.7;8.6;13.6;16.8;18.7;17.8;12.9;7.6;1.9;-2.6;7.6
618346;AIUD CIUMBRUD;-2.6;-0.9;4.1;10.3;15.5;18.4;20.4;19.6;14.8;8.7;3;-0.7;9.2
604335;ALBA IULIA;-2;-0.1;5.1;10.8;16;19;20.8;20.3;15.6;9.9;3.9;-0.7;9.9
359521;ALEXANDRIA;-1.5;0.3;5.6;11.6;17.5;21.4;23.4;23.1;17.9;11.7;4.9;-0.1;11.3
608121;ARAD;-0.8;0.6;5.4;11.1;16.6;19.7;21.8;21.3;16.3;10.9;5.2;0.7;10.7
805657;AVRAMENI;-3;-2.2;2.2;8.9;15.3;18.2;19.8;19.2;14.6;9.1;2.2;-1.7;8.5
452230;B.HERCULANE;0.3;1.6;5.8;11.1;15.9;19.1;21.1;21;16.4;11.3;5.7;1.3;10.8
524528;BABELE;-7.7;-9.3;-5.7;-1.7;3;5.9;7.9;8.2;5;1.4;-3.5;-6.9;-0.3
635658;BACAU;-2.3;-1;3.6;9.9;16;19.3;21.1;20.3;15.4;9.7;3.7;-1.1;9.5
740330;BAIA-MARE;-1.6;-0.2;4.8;10.7;15.9;18.7;20.5;19.9;15.1;10.2;4.8;0;9.9
401321;BAILESTI;-0.8;0.9;6.1;12.2;17.9;21.5;23.4;22.8;17.6;11.5;4.9;0.2;11.5
634322;BAISOARA;-3.5;-3.7;-0.9;4.2;9.5;12.4;14.5;14.5;10.1;6.2;1.4;-2.3;5.2
438357;BALCESTI;-1.9;0.4;4.7;11;16.1;19.9;22.1;21.2;16;10.3;4;-0.6;10.2
605755;BALINTESTI;-1.6;-1.3;4;9.3;16.8;20;20.2;19.7;16.4;10.3;2.2;0.9;9.7
403605;BANEASA DE GIURGIU;-1.3;0.3;5.4;11.2;15.8;20.3;22.5;22;17.1;11.1;3.7;-0.7;10.4
523108;BANLOC;-0.3;1.1;5.8;11.4;16.9;20;22;21.7;16.6;11.4;5.6;1.2;11.1
605537;BARAOLT;-3.8;-2.7;2.7;8.6;13.9;16.9;18.6;18;13.3;8.1;2.4;-2.5;7.8
654438;BATOS;-2.4;-1.2;3.4;9.7;14.8;17.9;19.8;19.1;14;9.1;3.9;-1;8.9
347357;BECHET;-1;0.9;6.1;12.2;17.9;21.6;23.5;22.7;17.6;11.4;4.9;0.1;11.5
947357;BECHET ASAS;-0.8;0.7;5.7;12;17.6;21.4;23.1;22.3;17.6;11.2;3.9;0.1;11.2
607753;BERESTI;-1.9;-1.3;3.1;9.7;16;19.6;21.3;20.6;15.8;10;3.1;-1.1;9.5
439157;BERZASCA;-0.1;1.2;5.6;11.3;16.3;19.3;21.2;21.1;16.7;11.4;5.4;1.2;10.9
525138;BERZOVIA;-0.3;1.1;5.1;11.1;16.1;19.2;21.5;21.1;16.1;10.6;5.4;1.5;10.7
428307;BICLES;-1.3;0.1;4.8;10.5;16;19.7;21.9;21.5;16.4;10.6;4.4;-0.3;10.3
917507;BILCESTI;-1.7;-2;2.4;7.7;12.7;15.5;17.4;17;14.1;9;3;0;7.9
536437;BILEA-LAC;-7.5;-8.1;-5.6;-1;3.7;6.9;9;9.3;5.5;2.1;-2.6;-6.2;0.5
614740;BIRLAD;-2.1;-0.7;3.9;10.3;16.3;19.8;21.8;21.3;16.2;10.4;4.2;-0.9;10.1
700733;BIRNOVA-RADAR;-3;-1.6;3.4;9.6;14.6;18.4;20.6;19.9;14.3;9.3;4.9;-0.4;9.2
533642;BISOCA;-1.9;-2;1;6.9;12.2;15.7;17.9;17.7;12.8;8;3.2;-0.9;7.5
708430;BISTRITA;-3.4;-2.1;3.3;9.5;15;17.8;19.5;18.8;13.8;8.5;3;-1.8;8.5
710431;BISTRITA SCPP;-3.1;-2.6;3.1;8.9;15.2;17;18.9;18.2;15.3;9.2;2;-1.2;8.4
611355;BLAJ;-2.6;-0.7;4.5;10.2;15.5;18.3;20.1;19.6;15;9.7;3.5;-1.3;9.3
538416;BOITA;-2;-0.6;4.1;9.6;14.6;17.4;19.3;18.9;14.6;9.8;4.2;-0.7;9.1
659236;BOROD;-1.2;-0.1;4.3;9.7;14.9;17.9;19.8;19.3;14.6;9.9;4.6;0.2;9.5
741640;BOTOSANI;-2.1;-0.9;3.6;9.9;15.9;19.1;20.9;20;15.1;9.6;3.6;-0.9;9.5
455200;BOZOVICI;-1.7;-0.2;4.4;10.1;15.1;18.2;19.9;19.4;14.6;9.5;3.9;-0.3;9.4
512755;BRAILA;-1.2;0.2;4.9;11.2;17.2;21;23;22.2;17;11.2;5.2;0.1;11
542532;BRASOV;-3.8;-2.9;2.6;8.5;13.8;16.9;18.5;18;13.4;8.2;2.5;-2.5;7.8
631611;BRUSTUROASA;-2.9;-2.6;0.9;7;12.5;15.8;17.5;16.6;12.2;7.3;1.4;-2.4;6.9
430613;BUC-AFUMATI;-1;0.6;5.4;11.1;17.1;21.1;22.9;22.2;16.9;11.2;5;-0.1;11
430608;BUC-BANEASA;-1.4;0.1;5.1;11.1;16.8;20.7;22.6;21.8;16.5;10.5;4.5;-0.3;10.7
425606;BUC-FILARET;-0.7;1.1;6.1;11.9;17.6;21.4;23.4;22.9;17.7;11.8;5.5;0.5;11.6
639518;BUCIN;-5.6;-5.5;-2.3;3.2;9.1;12.2;14.1;13.8;9.1;4.6;-0.3;-4.4;4
414629;BUDESTI;-0.8;-0.9;6;11.2;16.9;21.8;21.3;21.3;18.4;12.7;3.6;3;10.9
509649;BUZAU;-0.8;0.6;5.3;11.3;17.3;21.1;23.1;22.6;17.5;11.6;5.2;0.2;11.2
732534;C-LUNG MOLDOVENESC;-3.2;-2.5;1.1;6.8;12.3;15.6;17.1;16.4;12.2;7.3;1.3;-1.9;6.9
517507;C-LUNG MUSCEL;-1.6;-0.9;2.8;8.2;13.4;16.8;18.6;18;13.5;8.6;3.4;-0.5;8.4
518934;C.A.ROSETTI;-;5.2;-;-;-;-;21.5;22.5;-;-;-;-;-
